processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	coord_verbatim	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers	coord_verbatim
GBCMA3530-12	FJ715865	2944589		FJ715865	Mined from GenBank, NCBI		BOLD:ACB5508	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	54.2666666666667	108.466666666667	294Zav		54°16 ́N 108°28 ́E Заворотная																			
GBCMA3531-12	FJ715866	2944590		FJ715866	Mined from GenBank, NCBI		BOLD:AAY1020	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.1	106.2	158Ps		вероятно, 52°06 ́N 106°12 ́E, Посольский сор																			
GBCMA3532-12	FJ715867	2944591		FJ715867	Mined from GenBank, NCBI		BOLD:ACE2909	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	51.6666666666667	103.7	1Shama		вероятно, Мыс Шаманский, 200 м на восток, 51°40 ́N 103°42 ́E																			
GBCMA3533-12	FJ715868	2944592		FJ715868	Mined from GenBank, NCBI		BOLD:ACE2909	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	51.6666666666667	103.7	298Sha																					
GBCMA3534-12	FJ715869	2944593		FJ715869	Mined from GenBank, NCBI		BOLD:ACE2909	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	51.6666666666667	103.7	299Sha																					
GBCMA3535-12	FJ715870	2944594		FJ715870	Mined from GenBank, NCBI		BOLD:ACB5508	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	55.7333333333333	109.716666666667	256Yar																					
GBCMA3536-12	FJ715871	2944595		FJ715871	Mined from GenBank, NCBI		BOLD:ACB5508	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	54.6833333333333	109.583333333333	313Yac		Якшакан 54°41 ́N 109°35 ́E																			
GBCMA3537-12	FJ715872	2944596		FJ715872	Mined from GenBank, NCBI		BOLD:ACB5508	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	54.6833333333333	109.583333333333	314Yac																					
GBCMA3538-12	FJ715873	2944597		FJ715873	Mined from GenBank, NCBI		BOLD:ACB5508	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	54.6833333333333	109.583333333333	315Yac																					
GBCMA3539-12	FJ715874	2944598		FJ715874	Mined from GenBank, NCBI		BOLD:ACB5508	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus			320Chi																					
GBCMA3540-12	FJ715875	2944599		FJ715875	Mined from GenBank, NCBI		BOLD:ACB5508	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus			321Chi																					
GBCMA3541-12	FJ715876	2944600		FJ715876	Mined from GenBank, NCBI		BOLD:ACB5508	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus			323Chi																					
GBCMA3542-12	FJ715877	2944601		FJ715877	Mined from GenBank, NCBI		BOLD:ACB4278	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	53.2666666666667	108.716666666667	351Max		Максимиха 53°16 ́N 108°43 ́E																			
GBCMA3543-12	FJ715878	2944602		FJ715878	Mined from GenBank, NCBI		BOLD:ACB4278	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	53.2666666666667	108.716666666667	353Max																					
GBCMA3544-12	FJ715879	2944603		FJ715879	Mined from GenBank, NCBI		BOLD:AAY1020	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.7	107.65	355Tal		губа Таланка 52°42 ́N 107°39 ́E																			
GBCMA3545-12	FJ715880	2944604		FJ715880	Mined from GenBank, NCBI		BOLD:ACB4278	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.7	107.65	357Tal																					
GBCMA3546-12	FJ715881	2944605		FJ715881	Mined from GenBank, NCBI		BOLD:ACB4278	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.7	107.65	358Tal																					
GBCMA3547-12	FJ715885	2944606		FJ715885	Mined from GenBank, NCBI		BOLD:AAY1020	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.45	106.85	385Pro		Провал 52°27 ́N 106°51 ́E																			
GBCMA3548-12	FJ715886	2944607		FJ715886	Mined from GenBank, NCBI		BOLD:AAY1020	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.45	106.85	386Pro																					
GBCMA3549-12	FJ715887	2944608		FJ715887	Mined from GenBank, NCBI		BOLD:AAY1020	20	Arthropoda	69	Malacostraca	326	Amphipoda	26457	Micruropodidae	527081	Gmelinoidinae	106759	Gmelinoides	303256	Gmelinoides fasciatus																								Gmelinoides fasciatus	52.45	106.85	387Pro																					
